Amount,School Year,Region,Grade Level,Gender
"43,880",2018-2019,Region III - Central Luzon,Grade 11,Male
"44,764",2018-2019,Region IV-A - CALABARZON,Grade 11,Male
"17,097",2018-2019,Region IV-B - MIMAROPA,Grade 11,Male
"37,584",2018-2019,Region V - Bicol Region,Grade 11,Male
"43,375",2018-2019,Region VI - Western Visayas,Grade 11,Male
"35,945",2018-2019,Region VII - Central Visayas,Grade 11,Male
"29,126",2018-2019,Region VIII - Eastern Visayas,Grade 11,Male
"16,514",2018-2019,Region IX - Zamboanga Peninsula,Grade 11,Male
"19,771",2018-2019,Region X - Northern Mindanao,Grade 11,Male
"19,487",2018-2019,Region XI - Davao Region,Grade 11,Male
"22,282",2018-2019,Region XII - Soccsksargen,Grade 11,Male
"15,838",2018-2019,CARAGA - CARAGA,Grade 11,Male
"6,947",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Male
"6,378",2018-2019,CAR - Cordillera Administrative Region,Grade 11,Male
"23,873",2018-2019,NCR - National Capital Region,Grade 11,Male
"29,710",2018-2019,Region I - Ilocos Region,Grade 11,Female
"19,312",2018-2019,Region II - Cagayan Valley,Grade 11,Female
"41,911",2018-2019,Region III - Central Luzon,Grade 11,Female
"44,640",2018-2019,Region IV-A - CALABARZON,Grade 11,Female
"18,564",2018-2019,Region IV-B - MIMAROPA,Grade 11,Female
"41,946",2018-2019,Region V - Bicol Region,Grade 11,Female
"43,950",2018-2019,Region VI - Western Visayas,Grade 11,Female
"37,514",2018-2019,Region VII - Central Visayas,Grade 11,Female
"30,576",2018-2019,Region VIII - Eastern Visayas,Grade 11,Female
"18,313",2018-2019,Region IX - Zamboanga Peninsula,Grade 11,Female
"21,379",2018-2019,Region X - Northern Mindanao,Grade 11,Female
"21,780",2018-2019,Region XI - Davao Region,Grade 11,Female
"23,408",2018-2019,Region XII - Soccsksargen,Grade 11,Female
"15,692",2018-2019,CARAGA - CARAGA,Grade 11,Female
"9,046",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Female
"6,810",2018-2019,CAR - Cordillera Administrative Region,Grade 11,Female
"22,738",2018-2019,NCR - National Capital Region,Grade 11,Female
"32,420",2019-2020,Region I - Ilocos Region,Grade 11,Male
"20,048",2019-2020,Region II - Cagayan Valley,Grade 11,Male
"46,942",2019-2020,Region III - Central Luzon,Grade 11,Male
"48,279",2019-2020,Region IV-A - CALABARZON,Grade 11,Male
"19,131",2019-2020,Region IV-B - MIMAROPA,Grade 11,Male
"39,156",2019-2020,Region V - Bicol Region,Grade 11,Male
"47,402",2019-2020,Region VI - Western Visayas,Grade 11,Male
"39,978",2019-2020,Region VII - Central Visayas,Grade 11,Male
"31,363",2019-2020,Region VIII - Eastern Visayas,Grade 11,Male
"17,943",2019-2020,Region IX - Zamboanga Peninsula,Grade 11,Male
"21,317",2019-2020,Region X - Northern Mindanao,Grade 11,Male
"20,432",2019-2020,Region XI - Davao Region,Grade 11,Male
"22,432",2019-2020,Region XII - Soccsksargen,Grade 11,Male
"16,743",2019-2020,CARAGA - CARAGA,Grade 11,Male
"8,405",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Male
"6,962",2019-2020,CAR - Cordillera Administrative Region,Grade 11,Male
"26,259",2019-2020,NCR - National Capital Region,Grade 11,Male
"31,703",2019-2020,Region I - Ilocos Region,Grade 11,Female
"20,536",2019-2020,Region II - Cagayan Valley,Grade 11,Female
"45,681",2019-2020,Region III - Central Luzon,Grade 11,Female
"48,297",2019-2020,Region IV-A - CALABARZON,Grade 11,Female
"20,413",2019-2020,Region IV-B - MIMAROPA,Grade 11,Female
"43,378",2019-2020,Region V - Bicol Region,Grade 11,Female
"48,956",2019-2020,Region VI - Western Visayas,Grade 11,Female
"41,925",2019-2020,Region VII - Central Visayas,Grade 11,Female
"33,469",2019-2020,Region VIII - Eastern Visayas,Grade 11,Female
"20,671",2019-2020,Region IX - Zamboanga Peninsula,Grade 11,Female
"22,731",2019-2020,Region X - Northern Mindanao,Grade 11,Female
"22,330",2019-2020,Region XI - Davao Region,Grade 11,Female
"24,388",2019-2020,Region XII - Soccsksargen,Grade 11,Female
"16,861",2019-2020,CARAGA - CARAGA,Grade 11,Female
"11,199",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Female
"7,508",2019-2020,CAR - Cordillera Administrative Region,Grade 11,Female
"25,797",2019-2020,NCR - National Capital Region,Grade 11,Female
"36,644",2020-2021,Region I - Ilocos Region,Grade 11,Male
"23,180",2020-2021,Region II - Cagayan Valley,Grade 11,Male
"56,426",2020-2021,Region III - Central Luzon,Grade 11,Male
"57,327",2020-2021,Region IV-A - CALABARZON,Grade 11,Male
"21,305",2020-2021,Region IV-B - MIMAROPA,Grade 11,Male
"38,944",2020-2021,Region V - Bicol Region,Grade 11,Male
"53,132",2020-2021,Region VI - Western Visayas,Grade 11,Male
"43,733",2020-2021,Region VII - Central Visayas,Grade 11,Male
"33,788",2020-2021,Region VIII - Eastern Visayas,Grade 11,Male
"21,402",2020-2021,Region IX - Zamboanga Peninsula,Grade 11,Male
"23,676",2020-2021,Region X - Northern Mindanao,Grade 11,Male
"24,951",2020-2021,Region XI - Davao Region,Grade 11,Male
"26,117",2020-2021,Region XII - Soccsksargen,Grade 11,Male
"19,398",2020-2021,CARAGA - CARAGA,Grade 11,Male
"9,613",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Male
"8,892",2020-2021,CAR - Cordillera Administrative Region,Grade 11,Male
"32,662",2020-2021,NCR - National Capital Region,Grade 11,Male
"36,455",2020-2021,Region I - Ilocos Region,Grade 11,Female
"24,491",2020-2021,Region II - Cagayan Valley,Grade 11,Female
"57,670",2020-2021,Region III - Central Luzon,Grade 11,Female
"59,177",2020-2021,Region IV-A - CALABARZON,Grade 11,Female
"23,103",2020-2021,Region IV-B - MIMAROPA,Grade 11,Female
"44,108",2020-2021,Region V - Bicol Region,Grade 11,Female
"56,220",2020-2021,Region VI - Western Visayas,Grade 11,Female
"47,512",2020-2021,Region VII - Central Visayas,Grade 11,Female
"38,179",2020-2021,Region VIII - Eastern Visayas,Grade 11,Female
"25,267",2020-2021,Region IX - Zamboanga Peninsula,Grade 11,Female
"26,958",2020-2021,Region X - Northern Mindanao,Grade 11,Female
"28,619",2020-2021,Region XI - Davao Region,Grade 11,Female
"30,448",2020-2021,Region XII - Soccsksargen,Grade 11,Female
"20,702",2020-2021,CARAGA - CARAGA,Grade 11,Female
"12,035",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Female
"9,664",2020-2021,CAR - Cordillera Administrative Region,Grade 11,Female
"32,221",2020-2021,NCR - National Capital Region,Grade 11,Female
"22,925",2017-2018,Region I - Ilocos Region,Grade 12,Male
"13,447",2017-2018,Region II - Cagayan Valley,Grade 12,Male
"32,657",2017-2018,Region III - Central Luzon,Grade 12,Male
"33,581",2017-2018,Region IV-A - CALABARZON,Grade 12,Male
"12,487",2017-2018,Region IV-B - MIMAROPA,Grade 12,Male
"26,933",2017-2018,Region V - Bicol Region,Grade 12,Male
"33,330",2017-2018,Region VI - Western Visayas,Grade 12,Male
"25,266",2017-2018,Region VII - Central Visayas,Grade 12,Male
"21,774",2017-2018,Region VIII - Eastern Visayas,Grade 12,Male
"9,599",2017-2018,Region IX - Zamboanga Peninsula,Grade 12,Male
"14,312",2017-2018,Region X - Northern Mindanao,Grade 12,Male
"11,971",2017-2018,Region XI - Davao Region,Grade 12,Male
"15,294",2017-2018,Region XII - Soccsksargen,Grade 12,Male
"10,423",2017-2018,CARAGA - CARAGA,Grade 12,Male
"5,274",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 12,Male
"4,325",2017-2018,CAR - Cordillera Administrative Region,Grade 12,Male
"15,437",2017-2018,NCR - National Capital Region,Grade 12,Male
"24,076",2017-2018,Region I - Ilocos Region,Grade 12,Female
"15,175",2017-2018,Region II - Cagayan Valley,Grade 12,Female
"32,738",2017-2018,Region III - Central Luzon,Grade 12,Female
"34,115",2017-2018,Region IV-A - CALABARZON,Grade 12,Female
"14,055",2017-2018,Region IV-B - MIMAROPA,Grade 12,Female
"31,591",2017-2018,Region V - Bicol Region,Grade 12,Female
"35,966",2017-2018,Region VI - Western Visayas,Grade 12,Female
"29,650",2017-2018,Region VII - Central Visayas,Grade 12,Female
"23,593",2017-2018,Region VIII - Eastern Visayas,Grade 12,Female
"11,390",2017-2018,Region IX - Zamboanga Peninsula,Grade 12,Female
"15,922",2017-2018,Region X - Northern Mindanao,Grade 12,Female
"13,700",2017-2018,Region XI - Davao Region,Grade 12,Female
"16,706",2017-2018,Region XII - Soccsksargen,Grade 12,Female
"10,595",2017-2018,CARAGA - CARAGA,Grade 12,Female
"7,417",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 12,Female
"5,054",2017-2018,CAR - Cordillera Administrative Region,Grade 12,Female
"15,840",2017-2018,NCR - National Capital Region,Grade 12,Female
"25,638",2018-2019,Region I - Ilocos Region,Grade 12,Male
"15,140",2018-2019,Region II - Cagayan Valley,Grade 12,Male
"35,987",2018-2019,Region III - Central Luzon,Grade 12,Male
"37,310",2018-2019,Region IV-A - CALABARZON,Grade 12,Male
"13,371",2018-2019,Region IV-B - MIMAROPA,Grade 12,Male
"30,284",2018-2019,Region V - Bicol Region,Grade 12,Male
"34,815",2018-2019,Region VI - Western Visayas,Grade 12,Male
"28,961",2018-2019,Region VII - Central Visayas,Grade 12,Male
"22,912",2018-2019,Region VIII - Eastern Visayas,Grade 12,Male
"11,631",2018-2019,Region IX - Zamboanga Peninsula,Grade 12,Male
"14,587",2018-2019,Region X - Northern Mindanao,Grade 12,Male
"14,352",2018-2019,Region XI - Davao Region,Grade 12,Male
"16,408",2018-2019,Region XII - Soccsksargen,Grade 12,Male
"11,377",2018-2019,CARAGA - CARAGA,Grade 12,Male
"5,200",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 12,Male
"4,944",2018-2019,CAR - Cordillera Administrative Region,Grade 12,Male
"19,551",2018-2019,NCR - National Capital Region,Grade 12,Male
"26,456",2018-2019,Region I - Ilocos Region,Grade 12,Female
"16,486",2018-2019,Region II - Cagayan Valley,Grade 12,Female
"36,458",2018-2019,Region III - Central Luzon,Grade 12,Female
"38,686",2018-2019,Region IV-A - CALABARZON,Grade 12,Female
"15,358",2018-2019,Region IV-B - MIMAROPA,Grade 12,Female
"35,423",2018-2019,Region V - Bicol Region,Grade 12,Female
"38,171",2018-2019,Region VI - Western Visayas,Grade 12,Female
"32,693",2018-2019,Region VII - Central Visayas,Grade 12,Female
"25,515",2018-2019,Region VIII - Eastern Visayas,Grade 12,Female
"14,064",2018-2019,Region IX - Zamboanga Peninsula,Grade 12,Female
"16,805",2018-2019,Region X - Northern Mindanao,Grade 12,Female
"16,732",2018-2019,Region XI - Davao Region,Grade 12,Female
"18,727",2018-2019,Region XII - Soccsksargen,Grade 12,Female
"12,829",2018-2019,CARAGA - CARAGA,Grade 12,Female
"7,229",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 12,Female
"6,017",2018-2019,CAR - Cordillera Administrative Region,Grade 12,Female
"19,671",2018-2019,NCR - National Capital Region,Grade 12,Female
"28,014",2019-2020,Region I - Ilocos Region,Grade 12,Male
"17,255",2019-2020,Region II - Cagayan Valley,Grade 12,Male
"40,204",2019-2020,Region III - Central Luzon,Grade 12,Male
"41,487",2019-2020,Region IV-A - CALABARZON,Grade 12,Male
"15,441",2019-2020,Region IV-B - MIMAROPA,Grade 12,Male
"34,577",2019-2020,Region V - Bicol Region,Grade 12,Male
"38,969",2019-2020,Region VI - Western Visayas,Grade 12,Male
"33,299",2019-2020,Region VII - Central Visayas,Grade 12,Male
"26,699",2019-2020,Region VIII - Eastern Visayas,Grade 12,Male
"14,697",2019-2020,Region IX - Zamboanga Peninsula,Grade 12,Male
"17,744",2019-2020,Region X - Northern Mindanao,Grade 12,Male
"17,474",2019-2020,Region XI - Davao Region,Grade 12,Male
"19,801",2019-2020,Region XII - Soccsksargen,Grade 12,Male
"14,449",2019-2020,CARAGA - CARAGA,Grade 12,Male
"6,172",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 12,Male
"5,783",2019-2020,CAR - Cordillera Administrative Region,Grade 12,Male
"22,215",2019-2020,NCR - National Capital Region,Grade 12,Male
"28,524",2019-2020,Region I - Ilocos Region,Grade 12,Female
"18,507",2019-2020,Region II - Cagayan Valley,Grade 12,Female
"39,538",2019-2020,Region III - Central Luzon,Grade 12,Female
"42,632",2019-2020,Region IV-A - CALABARZON,Grade 12,Female
"17,415",2019-2020,Region IV-B - MIMAROPA,Grade 12,Female
"39,552",2019-2020,Region V - Bicol Region,Grade 12,Female
"41,194",2019-2020,Region VI - Western Visayas,Grade 12,Female
"35,807",2019-2020,Region VII - Central Visayas,Grade 12,Female
"28,810",2019-2020,Region VIII - Eastern Visayas,Grade 12,Female
"16,872",2019-2020,Region IX - Zamboanga Peninsula,Grade 12,Female
"19,602",2019-2020,Region X - Northern Mindanao,Grade 12,Female
"20,209",2019-2020,Region XI - Davao Region,Grade 12,Female
"21,491",2019-2020,Region XII - Soccsksargen,Grade 12,Female
"14,828",2019-2020,CARAGA - CARAGA,Grade 12,Female
"8,135",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 12,Female
"6,411",2019-2020,CAR - Cordillera Administrative Region,Grade 12,Female
"21,956",2019-2020,NCR - National Capital Region,Grade 12,Female
"30,243",2020-2021,Region I - Ilocos Region,Grade 12,Male
"19,026",2020-2021,Region II - Cagayan Valley,Grade 12,Male
"42,578",2020-2021,Region III - Central Luzon,Grade 12,Male
"44,119",2020-2021,Region IV-A - CALABARZON,Grade 12,Male
"17,529",2020-2021,Region IV-B - MIMAROPA,Grade 12,Male
"32,713",2020-2021,Region V - Bicol Region,Grade 12,Male
"43,679",2020-2021,Region VI - Western Visayas,Grade 12,Male
"35,718",2020-2021,Region VII - Central Visayas,Grade 12,Male
"28,905",2020-2021,Region VIII - Eastern Visayas,Grade 12,Male
"16,551",2020-2021,Region IX - Zamboanga Peninsula,Grade 12,Male
"19,417",2020-2021,Region X - Northern Mindanao,Grade 12,Male
"17,906",2020-2021,Region XI - Davao Region,Grade 12,Male
"20,537",2020-2021,Region XII - Soccsksargen,Grade 12,Male
"15,717",2020-2021,CARAGA - CARAGA,Grade 12,Male
"7,530",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 12,Male
"6,595",2020-2021,CAR - Cordillera Administrative Region,Grade 12,Male
"23,348",2020-2021,NCR - National Capital Region,Grade 12,Male
"30,769",2020-2021,Region I - Ilocos Region,Grade 12,Female
"20,338",2020-2021,Region II - Cagayan Valley,Grade 12,Female
"43,561",2020-2021,Region III - Central Luzon,Grade 12,Female
"46,367",2020-2021,Region IV-A - CALABARZON,Grade 12,Female
"19,546",2020-2021,Region IV-B - MIMAROPA,Grade 12,Female
"38,086",2020-2021,Region V - Bicol Region,Grade 12,Female
"47,524",2020-2021,Region VI - Western Visayas,Grade 12,Female
"39,370",2020-2021,Region VII - Central Visayas,Grade 12,Female
"32,153",2020-2021,Region VIII - Eastern Visayas,Grade 12,Female
"19,475",2020-2021,Region IX - Zamboanga Peninsula,Grade 12,Female
"21,733",2020-2021,Region X - Northern Mindanao,Grade 12,Female
"20,458",2020-2021,Region XI - Davao Region,Grade 12,Female
"23,319",2020-2021,Region XII - Soccsksargen,Grade 12,Female
"16,592",2020-2021,CARAGA - CARAGA,Grade 12,Female
"10,090",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 12,Female
"7,501",2020-2021,CAR - Cordillera Administrative Region,Grade 12,Female
"24,168",2020-2021,NCR - National Capital Region,Grade 12,Female
"49,503",2016-2017,Region I - Ilocos Region,Grade 2,Male
"37,764",2016-2017,Region II - Cagayan Valley,Grade 2,Male
"108,267",2016-2017,Region III - Central Luzon,Grade 2,Male
"137,509",2016-2017,Region IV-A - CALABARZON,Grade 2,Male
"37,780",2016-2017,Region IV-B - MIMAROPA,Grade 2,Male
"71,437",2016-2017,Region V - Bicol Region,Grade 2,Male
"81,883",2016-2017,Region VI - Western Visayas,Grade 2,Male
"84,262",2016-2017,Region VII - Central Visayas,Grade 2,Male
"51,137",2016-2017,Region VIII - Eastern Visayas,Grade 2,Male
"43,407",2016-2017,Region IX - Zamboanga Peninsula,Grade 2,Male
"56,691",2016-2017,Region X - Northern Mindanao,Grade 2,Male
"56,919",2016-2017,Region XI - Davao Region,Grade 2,Male
"54,646",2016-2017,Region XII - Soccsksargen,Grade 2,Male
"33,739",2016-2017,CARAGA - CARAGA,Grade 2,Male
"48,579",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Male
"16,939",2016-2017,CAR - Cordillera Administrative Region,Grade 2,Male
"97,590",2016-2017,NCR - National Capital Region,Grade 2,Male
"45,633",2016-2017,Region I - Ilocos Region,Grade 2,Female
"34,727",2016-2017,Region II - Cagayan Valley,Grade 2,Female
"99,993",2016-2017,Region III - Central Luzon,Grade 2,Female
"127,271",2016-2017,Region IV-A - CALABARZON,Grade 2,Female
"34,560",2016-2017,Region IV-B - MIMAROPA,Grade 2,Female
"64,319",2016-2017,Region V - Bicol Region,Grade 2,Female
"74,206",2016-2017,Region VI - Western Visayas,Grade 2,Female
"75,853",2016-2017,Region VII - Central Visayas,Grade 2,Female
"46,606",2016-2017,Region VIII - Eastern Visayas,Grade 2,Female
"40,070",2016-2017,Region IX - Zamboanga Peninsula,Grade 2,Female
"50,645",2016-2017,Region X - Northern Mindanao,Grade 2,Female
"52,146",2016-2017,Region XI - Davao Region,Grade 2,Female
"50,464",2016-2017,Region XII - Soccsksargen,Grade 2,Female
"30,696",2016-2017,CARAGA - CARAGA,Grade 2,Female
"49,097",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Female
"15,698",2016-2017,CAR - Cordillera Administrative Region,Grade 2,Female
"91,727",2016-2017,NCR - National Capital Region,Grade 2,Female
"46,221",2017-2018,Region I - Ilocos Region,Grade 2,Male
"34,528",2017-2018,Region II - Cagayan Valley,Grade 2,Male
"101,598",2017-2018,Region III - Central Luzon,Grade 2,Male
"122,347",2017-2018,Region IV-A - CALABARZON,Grade 2,Male
"36,616",2017-2018,Region IV-B - MIMAROPA,Grade 2,Male
"70,661",2017-2018,Region V - Bicol Region,Grade 2,Male
"77,535",2017-2018,Region VI - Western Visayas,Grade 2,Male
"76,977",2017-2018,Region VII - Central Visayas,Grade 2,Male
"49,685",2017-2018,Region VIII - Eastern Visayas,Grade 2,Male
"39,883",2017-2018,Region IX - Zamboanga Peninsula,Grade 2,Male
"52,865",2017-2018,Region X - Northern Mindanao,Grade 2,Male
"52,991",2017-2018,Region XI - Davao Region,Grade 2,Male
"49,848",2017-2018,Region XII - Soccsksargen,Grade 2,Male
"32,140",2017-2018,CARAGA - CARAGA,Grade 2,Male
"45,678",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Male
"16,023",2017-2018,CAR - Cordillera Administrative Region,Grade 2,Male
"88,531",2017-2018,NCR - National Capital Region,Grade 2,Male
"42,912",2017-2018,Region I - Ilocos Region,Grade 2,Female
"32,154",2017-2018,Region II - Cagayan Valley,Grade 2,Female
"94,575",2017-2018,Region III - Central Luzon,Grade 2,Female
"114,489",2017-2018,Region IV-A - CALABARZON,Grade 2,Female
"33,675",2017-2018,Region IV-B - MIMAROPA,Grade 2,Female
"64,225",2017-2018,Region V - Bicol Region,Grade 2,Female
"71,204",2017-2018,Region VI - Western Visayas,Grade 2,Female
"69,956",2017-2018,Region VII - Central Visayas,Grade 2,Female
"45,709",2017-2018,Region VIII - Eastern Visayas,Grade 2,Female
"37,300",2017-2018,Region IX - Zamboanga Peninsula,Grade 2,Female
"48,657",2017-2018,Region X - Northern Mindanao,Grade 2,Female
"49,043",2017-2018,Region XI - Davao Region,Grade 2,Female
"46,974",2017-2018,Region XII - Soccsksargen,Grade 2,Female
"29,473",2017-2018,CARAGA - CARAGA,Grade 2,Female
"45,781",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Female
"14,547",2017-2018,CAR - Cordillera Administrative Region,Grade 2,Female
"83,688",2017-2018,NCR - National Capital Region,Grade 2,Female
"40,830",2018-2019,Region I - Ilocos Region,Grade 2,Male
"30,802",2018-2019,Region II - Cagayan Valley,Grade 2,Male
"92,849",2018-2019,Region III - Central Luzon,Grade 2,Male
"117,681",2018-2019,Region IV-A - CALABARZON,Grade 2,Male
"33,022",2018-2019,Region IV-B - MIMAROPA,Grade 2,Male
"64,427",2018-2019,Region V - Bicol Region,Grade 2,Male
"68,236",2018-2019,Region VI - Western Visayas,Grade 2,Male
"65,979",2018-2019,Region VII - Central Visayas,Grade 2,Male
"46,211",2018-2019,Region VIII - Eastern Visayas,Grade 2,Male
"39,161",2018-2019,Region IX - Zamboanga Peninsula,Grade 2,Male
"49,161",2018-2019,Region X - Northern Mindanao,Grade 2,Male
"44,850",2018-2019,Region XI - Davao Region,Grade 2,Male
"45,015",2018-2019,Region XII - Soccsksargen,Grade 2,Male
"28,667",2018-2019,CARAGA - CARAGA,Grade 2,Male
"44,320",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Male
"14,422",2018-2019,CAR - Cordillera Administrative Region,Grade 2,Male
"83,514",2018-2019,NCR - National Capital Region,Grade 2,Male
"37,016",2018-2019,Region I - Ilocos Region,Grade 2,Female
"27,824",2018-2019,Region II - Cagayan Valley,Grade 2,Female
"84,085",2018-2019,Region III - Central Luzon,Grade 2,Female
"106,260",2018-2019,Region IV-A - CALABARZON,Grade 2,Female
"29,689",2018-2019,Region IV-B - MIMAROPA,Grade 2,Female
"56,776",2018-2019,Region V - Bicol Region,Grade 2,Female
"61,586",2018-2019,Region VI - Western Visayas,Grade 2,Female
"59,383",2018-2019,Region VII - Central Visayas,Grade 2,Female
"41,577",2018-2019,Region VIII - Eastern Visayas,Grade 2,Female
"35,990",2018-2019,Region IX - Zamboanga Peninsula,Grade 2,Female
"44,849",2018-2019,Region X - Northern Mindanao,Grade 2,Female
"40,219",2018-2019,Region XI - Davao Region,Grade 2,Female
"41,965",2018-2019,Region XII - Soccsksargen,Grade 2,Female
"25,881",2018-2019,CARAGA - CARAGA,Grade 2,Female
"43,857",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Female
"12,953",2018-2019,CAR - Cordillera Administrative Region,Grade 2,Female
"77,346",2018-2019,NCR - National Capital Region,Grade 2,Female
"50,177",2019-2020,Region I - Ilocos Region,Grade 2,Male
"37,636",2019-2020,Region II - Cagayan Valley,Grade 2,Male
"113,317",2019-2020,Region III - Central Luzon,Grade 2,Male
"144,599",2019-2020,Region IV-A - CALABARZON,Grade 2,Male
"38,318",2019-2020,Region IV-B - MIMAROPA,Grade 2,Male
"75,136",2019-2020,Region V - Bicol Region,Grade 2,Male
"82,317",2019-2020,Region VI - Western Visayas,Grade 2,Male
"83,668",2019-2020,Region VII - Central Visayas,Grade 2,Male
"53,731",2019-2020,Region VIII - Eastern Visayas,Grade 2,Male
"45,557",2019-2020,Region IX - Zamboanga Peninsula,Grade 2,Male
"55,674",2019-2020,Region X - Northern Mindanao,Grade 2,Male
"56,022",2019-2020,Region XI - Davao Region,Grade 2,Male
"53,800",2019-2020,Region XII - Soccsksargen,Grade 2,Male
"33,117",2019-2020,CARAGA - CARAGA,Grade 2,Male
"44,710",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Male
"16,471",2019-2020,CAR - Cordillera Administrative Region,Grade 2,Male
"95,837",2019-2020,NCR - National Capital Region,Grade 2,Male
"45,802",2019-2020,Region I - Ilocos Region,Grade 2,Female
"34,877",2019-2020,Region II - Cagayan Valley,Grade 2,Female
"104,636",2019-2020,Region III - Central Luzon,Grade 2,Female
"133,808",2019-2020,Region IV-A - CALABARZON,Grade 2,Female
"35,343",2019-2020,Region IV-B - MIMAROPA,Grade 2,Female
"68,633",2019-2020,Region V - Bicol Region,Grade 2,Female
"75,545",2019-2020,Region VI - Western Visayas,Grade 2,Female
"76,722",2019-2020,Region VII - Central Visayas,Grade 2,Female
"49,923",2019-2020,Region VIII - Eastern Visayas,Grade 2,Female
"42,517",2019-2020,Region IX - Zamboanga Peninsula,Grade 2,Female
"51,662",2019-2020,Region X - Northern Mindanao,Grade 2,Female
"52,471",2019-2020,Region XI - Davao Region,Grade 2,Female
"50,047",2019-2020,Region XII - Soccsksargen,Grade 2,Female
"30,400",2019-2020,CARAGA - CARAGA,Grade 2,Female
"43,792",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Female
"15,133",2019-2020,CAR - Cordillera Administrative Region,Grade 2,Female
"88,824",2019-2020,NCR - National Capital Region,Grade 2,Female
"53,444",2020-2021,Region I - Ilocos Region,Grade 2,Male
"40,677",2020-2021,Region II - Cagayan Valley,Grade 2,Male
"121,219",2020-2021,Region III - Central Luzon,Grade 2,Male
"152,869",2020-2021,Region IV-A - CALABARZON,Grade 2,Male
"40,149",2020-2021,Region IV-B - MIMAROPA,Grade 2,Male
"73,396",2020-2021,Region V - Bicol Region,Grade 2,Male
"84,721",2020-2021,Region VI - Western Visayas,Grade 2,Male
"83,877",2020-2021,Region VII - Central Visayas,Grade 2,Male
"55,245",2020-2021,Region VIII - Eastern Visayas,Grade 2,Male
"45,822",2020-2021,Region IX - Zamboanga Peninsula,Grade 2,Male
"58,941",2020-2021,Region X - Northern Mindanao,Grade 2,Male
"55,686",2020-2021,Region XI - Davao Region,Grade 2,Male
"56,792",2020-2021,Region XII - Soccsksargen,Grade 2,Male
"35,207",2020-2021,CARAGA - CARAGA,Grade 2,Male
"44,534",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Male
"18,074",2020-2021,CAR - Cordillera Administrative Region,Grade 2,Male
"98,195",2020-2021,NCR - National Capital Region,Grade 2,Male
"50,144",2020-2021,Region I - Ilocos Region,Grade 2,Female
"38,430",2020-2021,Region II - Cagayan Valley,Grade 2,Female
"114,636",2020-2021,Region III - Central Luzon,Grade 2,Female
"144,681",2020-2021,Region IV-A - CALABARZON,Grade 2,Female
"36,958",2020-2021,Region IV-B - MIMAROPA,Grade 2,Female
"67,089",2020-2021,Region V - Bicol Region,Grade 2,Female
"78,498",2020-2021,Region VI - Western Visayas,Grade 2,Female
"77,772",2020-2021,Region VII - Central Visayas,Grade 2,Female
"51,791",2020-2021,Region VIII - Eastern Visayas,Grade 2,Female
"42,608",2020-2021,Region IX - Zamboanga Peninsula,Grade 2,Female
"55,016",2020-2021,Region X - Northern Mindanao,Grade 2,Female
"52,439",2020-2021,Region XI - Davao Region,Grade 2,Female
"53,670",2020-2021,Region XII - Soccsksargen,Grade 2,Female
"32,829",2020-2021,CARAGA - CARAGA,Grade 2,Female
"43,882",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 2,Female
"17,000",2020-2021,CAR - Cordillera Administrative Region,Grade 2,Female
"92,251",2020-2021,NCR - National Capital Region,Grade 2,Female
"54,119",2016-2017,Region I - Ilocos Region,Grade 3,Male
"39,079",2016-2017,Region II - Cagayan Valley,Grade 3,Male
"117,636",2016-2017,Region III - Central Luzon,Grade 3,Male
"144,402",2016-2017,Region IV-A - CALABARZON,Grade 3,Male
"39,690",2016-2017,Region IV-B - MIMAROPA,Grade 3,Male
